Product ID,Title,Current Price (Rs.),Original Price (Rs.),Discount (%),Items Sold,Rating (Stars),Review Count,Product URL
601099620738317,Small Indoor Fountain Automatic Humidifier Desktop Decor for Living Room and Bedroom Relaxation CraftOpen in new tab.,7093.0,,0,78647000,4.8,334,https://www.temu.com/pk-en/small-indoor-fountain-automatic-humidifier-desktop-decor-for-living-room-and-bedroom-relaxation-craft-g-601099620738317.html
601101960386279,"30pcs of self-adhesive marble wall tiles -30.0cm x 29.99cm, PVC foam kitchen and bathroom tailgate, can be DIY cut, mixed colors suitable for modern decoration, decorative tiles | fashionable tile patterns | PVC floor tilesOpen in new tab.",8069.0,,0,11212000,4.6,460,https://www.temu.com/pk-en/30pcs-of-self--marble-wall-tiles-30-0cm-x-29-99cm-pvc-foam-kitchen-and-bathroom-tailgate--diy-cut-mixed-colors-suitable-for-modern-decoration-decorative-tiles-fashionable-tile-patterns-pvc-floor-tiles-g-601101960386279.html
601101596712624,"Top pick6pcs/12pcs Diffuser Sticks - Bedroom Perfume Flower Water Fiber Rattan-Style Incense Sticks for Hotel/Bedroom/Living Room/Study/Washroom/Office, Includes Only Diffuser SticksOpen in new tab.",351.0,,0,191200,4.2,82,https://www.temu.com/pk-en/6pcs-12pcs-diffuser-sticks-bedroom-perfume-flower-water-fiber-rattan-style-incense-sticks-for-hotel-bedroom-living-room-study-washroom-office--only-diffuser-sticks-g-601101596712624.html
601101149335327,"Top pickinthetime Islamic Arabic Calligraphy Wall Clock - Silent Non-Ticking Modern Muslim Home Decor with Glowing Blue Center, Surah Ikhlas Design, Black Hands - Perfect for Living Room, Office, Ramadan, Eid, Birthday, Wedding - Durable Vinyl - Ideal Islamic Gift for Muslim Households - Arabic Calligraphy Clock with Movement - Handmade Exclusive Wall Art DecorOpen in new tab.",5022.0,,0,757384,4.4,30,https://www.temu.com/pk-en/-islamic-arabic-calligraphy-wall-clock-silent-non-ticking-modern-muslim-home-decor-with-glowing-blue-center---design---living-room-office-ramadan-eid-birthday-wedding-durable-vinyl-ideal-islamic-gift-for-muslim-households-arabic-calligraphy-clock-with-movement-handmade--wall-art-decor-g-601101149335327.html
601103276838215,"Top pick4pcs Extra Large Artificial Plant Set with Lush Tropical Palm Trees & Broad Leaf Foliage - Realistic Indoor/Outdoor Fake Plants with UV-Resistant Plastic Trunk & Lush Green Foliage - Low-Maintenance Fake Trees for Home, Office, Wedding, Balcony, Garden Decor - Year-Round Use (No Maintenance Required) - Lifelike Floor-Standing or Tabletop Display - No Pots Included - Easy Setup, Artificial Palm Leaves, Artificial Plants for Living Room, Artificial Trees for Home DecorOpen in new tab.",4354.0,,0,716120,0,0,https://www.temu.com/pk-en/4pcs-extra-large-artificial-plant-set-with---trees--foliage-realistic-indoor-outdoor--plants-with-uv-resistant-plastic-trunk--green-foliage-low-maintenance--trees-for-home-office-wedding-balcony-garden-decor-year-round-use-no-maintenance-required-lifelike-floor-standing-or-tabletop-display-no-pots-included-easy-setup-artificial-palm-leaves-artificial-plants-for-living-room-artificial-trees-for-home-decor-g-601103276838215.html
601101937760165,"Top pick6-Pack Foam Rose Potted Plants, Elegant Mini 5pcs Artificial Rose Branches for Home, Hotel, and Garden DecorOpen in new tab.",2277.0,,0,9041300,4.8,77,https://www.temu.com/pk-en/6-pack-foam-rose-potted-plants-elegant-mini-5pcs-artificial-rose-branches-for--and-garden-decor-g-601101937760165.html
601101348095402,"Top pick4pcs Large Artificial Plant with 48 Leaves - Broadleaf Tropical Rainforest Decorative Tree, Suitable for Indoor and Outdoor Potted Greenery, Suitable for Weddings, Hotels, Gardens, Courtyards, Photography Backdrops, Nordic Style Green Faux Tree - Perfect for Labor Day, Mother'S Day, Graduation Season, Independence Day, Christmas, Valentine'S Day Decorations - Beautiful Greenery, No Container IncludedOpen in new tab.",4928.0,,0,74960,4.0,5,https://www.temu.com/pk-en/4pcs-large-artificial-plant-with-48-leaves---decorative-tree-suitable-for-indoor-and-outdoor-potted-greenery-suitable-for-weddings-hotels-gardens-courtyards-photography-backdrops--style-green--tree--labor-day-mothers-day-graduation-season--christmas-valentines-day-decorations-beautiful-greenery-no-container-included-g-601101348095402.html
601102947138104,"Top pick30-Pack (30 Panels) Heavy-Duty Foam Board Panels - Self-Adhesive Wallpaper-like Tiles with Plastic Panels, Easy-Clean Surface, Cut-to-Fit Design for Walls, Ceiling, Kitchen, Bathroom, Living Room - Modern White & Beige Tile Panels for DIY & - Textured Brick-Like Look, Peel-and-Stick Application, Long-Lasting Adhesive, Space-Saving & Cost-Effective Solution (No Glue Needed)Open in new tab.",5385.0,,0,18337,4.5,2,https://www.temu.com/pk-en/30--panels-heavy-duty-foam-board-panels-self--wallpaper-like-tiles-with-plastic-panels-easy---design-for-walls-ceiling-kitchen-bathroom-living-room-modern-white-beige-tile-panels-for-diy-textured-brick-like-look-peel-and-stick-application-long-lasting--space-saving--solution-no--needed-g-601102947138104.html
601103623624314,"Top pick5pcs Set - Large Realistic Artificial Christmas Pine Tree Combo with 60 Big Leaves, Lush Money Plant and Palm Bird of Paradise Plants for Outdoor Use | Maintenance-Free Broadleaf Decorative Trees & Year Round Home Décor Planters in Nordic Style FauxOpen in new tab.",8018.0,,0,6111700,4.1,40,https://www.temu.com/pk-en/5pcs-set-large-realistic-artificial-christmas-pine-tree-combo-with-60-big-leaves---and-palm-bird-of-paradise-plants-for-outdoor-use---decorative-trees-year-round-home-decor-planters-in--style--g-601103623624314.html
601099780720562,"Self-Adhesive Wallpaper, Home Use, Waterproof And Moisture-Proof Wall Paper, Cozy Foam Brick Background Wall, Rental House Wall StickerOpen in new tab.",4611.0,,0,2401300,4.6,75,https://www.temu.com/pk-en/self--wallpaper-home-use-waterproof-and-moisture-proof-wall-paper--brick-background-wall-rental-house-wall-sticker-g-601099780720562.html
